integ((abs(IT("/M0/S")) * VT("/net2"))) X,integ((abs(IT("/M0/S")) * VT("/net2"))) Y
4,4.993645155900841e-15
45.33333,4.236020223327131e-14
86.66667,8.060535556256032e-14
128,1.19010831409598e-13
169.3333,1.576775367999061e-13
210.6667,1.964205328797103e-13
252,2.356785636934815e-13
293.3333,2.75094415077572e-13
334.6667,3.145694184812581e-13
376,3.540034240982494e-13
417.3333,3.932312030651274e-13
458.6667,4.320178541058918e-13
500,4.700499265067694e-13
541.3333,5.069617418182543e-13
582.6667,5.424114815156749e-13
624,5.760520148162752e-13
665.3333,6.075933771669136e-13
706.6667,6.3679350825793e-13
748,6.635335860657483e-13
789.3333,6.877298794859715e-13
830.6667,7.093710250507839e-13
872,7.285035780784462e-13
913.3333,7.452282478419671e-13
954.6667,7.596794974593749e-13
996,7.720099854973795e-13
1037.333,7.823987261720362e-13
1078.667,7.910191848916763e-13
1120,7.980492651944235e-13
1161.333,8.036581405113439e-13
1202.667,8.080085757041609e-13
1244,8.11236610318623e-13
1285.333,8.135345658508144e-13
1326.667,8.149711384098113e-13
1368,8.156749051026902e-13
1409.333,8.157392888159797e-13
1450.667,8.153177285584895e-13
1492,8.144327079396094e-13
1533.333,8.130706138431449e-13
1574.667,8.115027748147389e-13
1616,8.095909531286842e-13
1657.333,8.074761276285662e-13
1698.667,8.051999854872538e-13
1740,8.027851468867176e-13
1781.333,8.003057467628113e-13
1822.667,1.751044135008891e-13
1864,1.785149656893878e-13
1905.333,1.818992893816489e-13
1946.667,1.852562997553888e-13
1988,1.885873857415912e-13
2029.333,1.918915296116449e-13
2070.667,1.951676846376738e-13
2112,1.984157215923902e-13
2153.333,2.016353689535776e-13
2194.667,2.048262998999447e-13
2236,2.079881029374738e-13
2277.333,2.111204176544293e-13
2318.667,2.142228262413002e-13
2360,2.172951211975375e-13
2401.333,2.203377872715873e-13
2442.667,2.233488455902834e-13
2484,2.26328573079296e-13
2525.333,2.292768853048622e-13
2566.667,2.321933767176721e-13
2608,2.350768552695757e-13
2649.333,2.379288575221421e-13
2690.667,2.407490029362058e-13
2732,2.435354321767343e-13
2773.333,2.46288233762391e-13
2814.667,2.490077118880103e-13
2856,2.516929401618816e-13
2897.333,2.543441521535676e-13
2938.667,2.56960884168576e-13
2980,2.595429024978279e-13
3021.333,2.620889013165707e-13
3062.667,2.646016722293243e-13
3104,2.670779506728356e-13
3145.333,2.695186961258542e-13
3186.667,2.719235519363606e-13
3228,2.7429174513795e-13
3269.333,2.766237602600109e-13
3310.667,2.789192076686535e-13
3352,2.811780318942585e-13
3393.333,2.833997921443303e-13
3434.667,2.855844395173357e-13
3476,2.877318613292284e-13
3517.333,2.898419107058772e-13
3558.667,2.919144743540973e-13
3600,2.939494478591299e-13
3641.333,2.959467585460322e-13
3682.667,2.979062813661617e-13
3724,2.998282283283384e-13
3765.333,3.017112551834192e-13
3806.667,3.035568163383243e-13
3848,3.053654282501256e-13
3889.333,3.071360941420525e-13
3930.667,3.08868664225957e-13
3972,3.105644578248186e-13
4013.333,3.12221509354269e-13
4054.667,3.138404077396461e-13
4096,3.154225854546062e-13
